"DateTime","Counter-Strike: Global Offensive","Sid Meier's Civilization V","Grand Theft Auto V","Sid Meier's Civilization VI","The Elder Scrolls V: Skyrim Special Edition","Far Cry 5","PUBG: BATTLEGROUNDS","Monster Hunter: World","Assassin's Creed Odyssey","太吾绘卷 The Scroll Of Taiwu"
"2015-01-17 00:00:00",442380,62996,,,,,,,,
"2015-01-18 00:00:00",377789,62721,,,,,,,,
"2015-01-19 00:00:00",391559,54185,,,,,,,,
"2015-01-20 00:00:00",380689,44753,,,,,,,,
"2015-01-21 00:00:00",379248,43875,,,,,,,,
"2015-01-22 00:00:00",399062,46544,,,,,,,,
"2015-01-23 00:00:00",430861,61566,,,,,,,,
"2015-01-24 00:00:00",423350,62794,,,,,,,,
"2015-01-25 00:00:00",371266,60710,,,,,,,,
"2015-01-26 00:00:00",360648,44045,,,,,,,,
"2015-01-27 00:00:00",385217,39913,,,,,,,,
"2015-01-28 00:00:00",380640,40280,,,,,,,,
"2015-01-29 00:00:00",397712,43135,,,,,,,,
"2015-01-30 00:00:00",437368,56707,,,,,,,,
"2015-01-31 00:00:00",434024,60236,,,,,,,,
"2015-02-01 00:00:00",455508,60119,,,,,,,,
"2015-02-02 00:00:00",384373,44432,,,,,,,,
"2015-02-03 00:00:00",346986,39084,,,,,,,,
"2015-02-04 00:00:00",374310,38306,,,,,,,,
"2015-02-05 00:00:00",401791,41495,,,,,,,,
"2015-02-06 00:00:00",401791,41495,,,,,,,,
"2015-02-07 00:00:00",401791,41495,,,,,,,,
"2015-02-08 00:00:00",401791,41495,,,,,,,,
"2015-02-09 00:00:00",401791,41495,,,,,,,,
"2015-02-10 00:00:00",159873,33559,,,,,,,,
"2015-02-11 00:00:00",103924,19457,,,,,,,,
"2015-02-12 00:00:00",103924,19457,,,,,,,,
"2015-02-13 00:00:00",419184,53996,,,,,,,,
"2015-02-14 00:00:00",431744,59017,,,,,,,,
"2015-02-15 00:00:00",384755,58864,,,,,,,,
"2015-02-16 00:00:00",,,,,,,,,,
"2015-02-17 00:00:00",398868,40008,,,,,,,,
"2015-02-18 00:00:00",395553,40578,,,,,,,,
"2015-02-19 00:00:00",423817,43891,,,,,,,,
"2015-02-20 00:00:00",442763,57387,,,,,,,,
"2015-02-21 00:00:00",454373,59075,,,,,,,,
"2015-02-22 00:00:00",406052,59035,,,,,,,,
"2015-02-23 00:00:00",400112,41320,,,,,,,,
"2015-02-24 00:00:00",337230,38725,,,,,,,,
"2015-02-25 00:00:00",,,,,,,,,,
"2015-02-26 00:00:00",,,,,,,,,,
"2015-02-27 00:00:00",,,,,,,,,,
"2015-02-28 00:00:00",,,,,,,,,,
