"DateTime","Geneshift","Z1 Battle Royale","PUBG: BATTLEGROUNDS","Ring of Elysium","Realm Royale Reforged","Fall Guys","Apex Legends","NARAKA: BLADEPOINT","Battlefield™ V","Crab Game"
"2016-02-01 00:00:00",,20916,,,,,,,,
"2016-02-02 00:00:00",,,,,,,,,,
"2016-02-03 00:00:00",,,,,,,,,,
"2016-02-04 00:00:00",,,,,,,,,,
"2016-02-05 00:00:00",,,,,,,,,,
"2016-02-06 00:00:00",,,,,,,,,,
"2016-02-07 00:00:00",,,,,,,,,,
"2016-02-08 00:00:00",,,,,,,,,,
"2016-02-09 00:00:00",,,,,,,,,,
"2016-02-10 00:00:00",,,,,,,,,,
"2016-02-11 00:00:00",,,,,,,,,,
"2016-02-12 00:00:00",,,,,,,,,,
"2016-02-13 00:00:00",,,,,,,,,,
"2016-02-14 00:00:00",,,,,,,,,,
"2016-02-15 00:00:00",,,,,,,,,,
"2016-02-16 00:00:00",,,,,,,,,,
"2016-02-17 00:00:00",,,,,,,,,,
"2016-02-18 00:00:00",,15990,,,,,,,,
"2016-02-19 00:00:00",,17408,,,,,,,,
"2016-02-20 00:00:00",,19212,,,,,,,,
"2016-02-21 00:00:00",,20769,,,,,,,,
"2016-02-22 00:00:00",,16438,,,,,,,,
"2016-02-23 00:00:00",,17021,,,,,,,,
"2016-02-24 00:00:00",,14842,,,,,,,,
"2016-02-25 00:00:00",,16901,,,,,,,,
"2016-02-26 00:00:00",,17824,,,,,,,,
"2016-02-27 00:00:00",,17300,,,,,,,,
"2016-02-28 00:00:00",,20804,,,,,,,,
"2016-02-29 00:00:00",,16917,,,,,,,,
"2016-03-01 00:00:00",,16320,,,,,,,,
"2016-03-02 00:00:00",,16142,,,,,,,,
"2016-03-03 00:00:00",,15568,,,,,,,,
"2016-03-04 00:00:00",,16330,,,,,,,,
"2016-03-05 00:00:00",,19041,,,,,,,,
"2016-03-06 00:00:00",,19275,,,,,,,,
"2016-03-07 00:00:00",,15616,,,,,,,,
"2016-03-08 00:00:00",,13876,,,,,,,,
"2016-03-09 00:00:00",,13231,,,,,,,,
"2016-03-10 00:00:00",,14475,,,,,,,,
"2016-03-11 00:00:00",,16221,,,,,,,,
"2016-03-12 00:00:00",,17258,,,,,,,,
"2016-03-13 00:00:00",,17880,,,,,,,,
"2016-03-14 00:00:00",,14396,,,,,,,,
"2016-03-15 00:00:00",,13838,,,,,,,,
"2016-03-16 00:00:00",,13343,,,,,,,,
"2016-03-17 00:00:00",,13132,,,,,,,,
"2016-03-18 00:00:00",,14291,,,,,,,,
"2016-03-19 00:00:00",,16022,,,,,,,,
"2016-03-20 00:00:00",,16234,,,,,,,,
"2016-03-21 00:00:00",,13310,,,,,,,,
"2016-03-22 00:00:00",,12960,,,,,,,,
"2016-03-23 00:00:00",,12427,,,,,,,,
"2016-03-24 00:00:00",,12751,,,,,,,,
"2016-03-25 00:00:00",,14399,,,,,,,,
"2016-03-26 00:00:00",,14539,,,,,,,,
"2016-03-27 00:00:00",,14047,,,,,,,,
"2016-03-28 00:00:00",,13510,,,,,,,,
"2016-03-29 00:00:00",,11501,,,,,,,,
"2016-03-30 00:00:00",,11338,,,,,,,,
"2016-03-31 00:00:00",,11103,,,,,,,,
"2016-04-01 00:00:00",,12672,,,,,,,,
"2016-04-02 00:00:00",,13642,,,,,,,,
"2016-04-03 00:00:00",,14357,,,,,,,,
"2016-04-04 00:00:00",,11943,,,,,,,,
"2016-04-05 00:00:00",,11633,,,,,,,,
"2016-04-06 00:00:00",,11693,,,,,,,,
"2016-04-07 00:00:00",,11620,,,,,,,,
"2016-04-08 00:00:00",,12436,,,,,,,,
"2016-04-09 00:00:00",,14084,,,,,,,,
"2016-04-10 00:00:00",,13844,,,,,,,,
"2016-04-11 00:00:00",,11546,,,,,,,,
"2016-04-12 00:00:00",,11221,,,,,,,,
"2016-04-13 00:00:00",,10326,,,,,,,,
"2016-04-14 00:00:00",,10270,,,,,,,,
"2016-04-15 00:00:00",,11390,,,,,,,,
"2016-04-16 00:00:00",,12681,,,,,,,,
"2016-04-17 00:00:00",,12650,,,,,,,,
"2016-04-18 00:00:00",,10824,,,,,,,,
"2016-04-19 00:00:00",,10722,,,,,,,,
"2016-04-20 00:00:00",,10520,,,,,,,,
"2016-04-21 00:00:00",,10573,,,,,,,,
"2016-04-22 00:00:00",,12294,,,,,,,,
"2016-04-23 00:00:00",,13027,,,,,,,,
"2016-04-24 00:00:00",,13866,,,,,,,,
"2016-04-25 00:00:00",,12081,,,,,,,,
"2016-04-26 00:00:00",,11840,,,,,,,,
"2016-04-27 00:00:00",,11351,,,,,,,,
"2016-04-28 00:00:00",,11645,,,,,,,,
"2016-04-29 00:00:00",,11744,,,,,,,,
"2016-04-30 00:00:00",,12731,,,,,,,,
"2016-05-01 00:00:00",,10672,,,,,,,,
"2016-05-02 00:00:00",,10594,,,,,,,,
"2016-05-03 00:00:00",,10991,,,,,,,,
"2016-05-04 00:00:00",,10638,,,,,,,,
"2016-05-05 00:00:00",,9304,,,,,,,,
"2016-05-06 00:00:00",,10488,,,,,,,,
"2016-05-07 00:00:00",,12021,,,,,,,,
"2016-05-08 00:00:00",,11388,,,,,,,,
"2016-05-09 00:00:00",,9418,,,,,,,,
"2016-05-10 00:00:00",,9317,,,,,,,,
"2016-05-11 00:00:00",,9595,,,,,,,,
"2016-05-12 00:00:00",,9617,,,,,,,,
"2016-05-13 00:00:00",,10199,,,,,,,,
"2016-05-14 00:00:00",,12432,,,,,,,,
"2016-05-15 00:00:00",,12149,,,,,,,,
"2016-05-16 00:00:00",,10963,,,,,,,,
"2016-05-17 00:00:00",,10043,,,,,,,,
"2016-05-18 00:00:00",,10166,,,,,,,,
"2016-05-19 00:00:00",,10080,,,,,,,,
"2016-05-20 00:00:00",,10602,,,,,,,,
"2016-05-21 00:00:00",,13899,,,,,,,,
"2016-05-22 00:00:00",,15163,,,,,,,,
"2016-05-23 00:00:00",,12492,,,,,,,,
"2016-05-24 00:00:00",,10668,,,,,,,,
"2016-05-25 00:00:00",,10804,,,,,,,,
"2016-05-26 00:00:00",,11313,,,,,,,,
"2016-05-27 00:00:00",,13491,,,,,,,,
"2016-05-28 00:00:00",,12292,,,,,,,,
"2016-05-29 00:00:00",,12428,,,,,,,,
"2016-05-30 00:00:00",,11372,,,,,,,,
"2016-05-31 00:00:00",,10612,,,,,,,,
"2016-06-01 00:00:00",,10154,,,,,,,,
"2016-06-02 00:00:00",,10188,,,,,,,,
"2016-06-03 00:00:00",,10427,,,,,,,,
"2016-06-04 00:00:00",,12288,,,,,,,,
"2016-06-05 00:00:00",,12951,,,,,,,,
"2016-06-06 00:00:00",,10916,,,,,,,,
"2016-06-07 00:00:00",,10519,,,,,,,,
"2016-06-08 00:00:00",,11236,,,,,,,,
"2016-06-09 00:00:00",,10664,,,,,,,,
"2016-06-10 00:00:00",,11098,,,,,,,,
"2016-06-11 00:00:00",,11741,,,,,,,,
"2016-06-12 00:00:00",,12255,,,,,,,,
"2016-06-13 00:00:00",,10445,,,,,,,,
"2016-06-14 00:00:00",,10062,,,,,,,,
"2016-06-15 00:00:00",,9787,,,,,,,,
"2016-06-16 00:00:00",,9397,,,,,,,,
"2016-06-17 00:00:00",,9756,,,,,,,,
"2016-06-18 00:00:00",,10177,,,,,,,,
"2016-06-19 00:00:00",,10914,,,,,,,,
"2016-06-20 00:00:00",,9595,,,,,,,,
"2016-06-21 00:00:00",,9280,,,,,,,,
"2016-06-22 00:00:00",,9241,,,,,,,,
"2016-06-23 00:00:00",,9378,,,,,,,,
"2016-06-24 00:00:00",,10180,,,,,,,,
"2016-06-25 00:00:00",,11170,,,,,,,,
"2016-06-26 00:00:00",,11704,,,,,,,,
"2016-06-27 00:00:00",,11359,,,,,,,,
"2016-06-28 00:00:00",,11282,,,,,,,,
"2016-06-29 00:00:00",,11001,,,,,,,,
"2016-06-30 00:00:00",,10402,,,,,,,,
"2016-07-01 00:00:00",,10867,,,,,,,,
"2016-07-02 00:00:00",,11625,,,,,,,,
"2016-07-03 00:00:00",,11852,,,,,,,,
"2016-07-04 00:00:00",,11813,,,,,,,,
"2016-07-05 00:00:00",,10697,,,,,,,,
"2016-07-06 00:00:00",,11039,,,,,,,,
"2016-07-07 00:00:00",,10966,,,,,,,,
"2016-07-08 00:00:00",,11555,,,,,,,,
"2016-07-09 00:00:00",,10568,,,,,,,,
"2016-07-10 00:00:00",,10790,,,,,,,,
"2016-07-11 00:00:00",,10263,,,,,,,,
"2016-07-12 00:00:00",,9641,,,,,,,,
"2016-07-13 00:00:00",,9594,,,,,,,,
"2016-07-14 00:00:00",,9569,,,,,,,,
"2016-07-15 00:00:00",,9226,,,,,,,,
"2016-07-16 00:00:00",,9872,,,,,,,,
"2016-07-17 00:00:00",,10494,,,,,,,,
"2016-07-18 00:00:00",,9442,,,,,,,,
"2016-07-19 00:00:00",,9142,,,,,,,,
"2016-07-20 00:00:00",,8754,,,,,,,,
"2016-07-21 00:00:00",,8797,,,,,,,,
"2016-07-22 00:00:00",,8744,,,,,,,,
"2016-07-23 00:00:00",,8957,,,,,,,,
"2016-07-24 00:00:00",,9408,,,,,,,,
"2016-07-25 00:00:00",,9206,,,,,,,,
"2016-07-26 00:00:00",,9040,,,,,,,,
"2016-07-27 00:00:00",,9164,,,,,,,,
"2016-07-28 00:00:00",,8732,,,,,,,,
"2016-07-29 00:00:00",,11419,,,,,,,,
"2016-07-30 00:00:00",,9360,,,,,,,,
"2016-07-31 00:00:00",,10186,,,,,,,,
"2016-08-01 00:00:00",,9879,,,,,,,,
"2016-08-02 00:00:00",,9727,,,,,,,,
"2016-08-03 00:00:00",,9554,,,,,,,,
"2016-08-04 00:00:00",,9313,,,,,,,,
"2016-08-05 00:00:00",,9530,,,,,,,,
"2016-08-06 00:00:00",,10159,,,,,,,,
"2016-08-07 00:00:00",,11175,,,,,,,,
"2016-08-08 00:00:00",,10151,,,,,,,,
"2016-08-09 00:00:00",,13990,,,,,,,,
"2016-08-10 00:00:00",,12267,,,,,,,,
"2016-08-11 00:00:00",,11316,,,,,,,,
"2016-08-12 00:00:00",,10883,,,,,,,,
"2016-08-13 00:00:00",,11251,,,,,,,,
"2016-08-14 00:00:00",,12669,,,,,,,,
"2016-08-15 00:00:00",,11738,,,,,,,,
"2016-08-16 00:00:00",,11605,,,,,,,,
"2016-08-17 00:00:00",,11173,,,,,,,,
"2016-08-18 00:00:00",,11331,,,,,,,,
"2016-08-19 00:00:00",,11190,,,,,,,,
"2016-08-20 00:00:00",,12034,,,,,,,,
"2016-08-21 00:00:00",,12653,,,,,,,,
"2016-08-22 00:00:00",,11150,,,,,,,,
"2016-08-23 00:00:00",,10401,,,,,,,,
"2016-08-24 00:00:00",,11864,,,,,,,,
"2016-08-25 00:00:00",,11054,,,,,,,,
"2016-08-26 00:00:00",,11993,,,,,,,,
"2016-08-27 00:00:00",,13223,,,,,,,,
"2016-08-28 00:00:00",,14224,,,,,,,,
"2016-08-29 00:00:00",,12439,,,,,,,,
"2016-08-30 00:00:00",,11491,,,,,,,,
"2016-08-31 00:00:00",,10999,,,,,,,,
"2016-09-01 00:00:00",,10224,,,,,,,,
"2016-09-02 00:00:00",,11116,,,,,,,,
"2016-09-03 00:00:00",,12163,,,,,,,,
"2016-09-04 00:00:00",,12890,,,,,,,,
"2016-09-05 00:00:00",,12216,,,,,,,,
"2016-09-06 00:00:00",,10052,,,,,,,,
"2016-09-07 00:00:00",,10394,,,,,,,,
"2016-09-08 00:00:00",,10132,,,,,,,,
"2016-09-09 00:00:00",,10942,,,,,,,,
"2016-09-10 00:00:00",,12617,,,,,,,,
"2016-09-11 00:00:00",,13238,,,,,,,,
"2016-09-12 00:00:00",,10891,,,,,,,,
"2016-09-13 00:00:00",,9905,,,,,,,,
"2016-09-14 00:00:00",,9874,,,,,,,,
"2016-09-15 00:00:00",,10221,,,,,,,,
"2016-09-16 00:00:00",,11125,,,,,,,,
"2016-09-17 00:00:00",,12319,,,,,,,,
"2016-09-18 00:00:00",,13044,,,,,,,,
"2016-09-19 00:00:00",,10589,,,,,,,,
"2016-09-20 00:00:00",,13120,,,,,,,,
"2016-09-21 00:00:00",,18919,,,,,,,,
"2016-09-22 00:00:00",,16451,,,,,,,,
"2016-09-23 00:00:00",,23769,,,,,,,,
"2016-09-24 00:00:00",,23757,,,,,,,,
"2016-09-25 00:00:00",,24797,,,,,,,,
"2016-09-26 00:00:00",,20623,,,,,,,,
"2016-09-27 00:00:00",,19124,,,,,,,,
"2016-09-28 00:00:00",,18815,,,,,,,,
"2016-09-29 00:00:00",,18474,,,,,,,,
"2016-09-30 00:00:00",,16427,,,,,,,,
"2016-10-01 00:00:00",,21682,,,,,,,,
"2016-10-02 00:00:00",,24567,,,,,,,,
"2016-10-03 00:00:00",,21232,,,,,,,,
"2016-10-04 00:00:00",,20396,,,,,,,,
"2016-10-05 00:00:00",,20156,,,,,,,,
"2016-10-06 00:00:00",,19621,,,,,,,,
"2016-10-07 00:00:00",,21565,,,,,,,,
"2016-10-08 00:00:00",,24744,,,,,,,,
"2016-10-09 00:00:00",,26829,,,,,,,,
"2016-10-10 00:00:00",,23798,,,,,,,,
"2016-10-11 00:00:00",,19964,,,,,,,,
"2016-10-12 00:00:00",,20467,,,,,,,,
"2016-10-13 00:00:00",,20048,,,,,,,,
"2016-10-14 00:00:00",,20193,,,,,,,,
"2016-10-15 00:00:00",,24194,,,,,,,,
"2016-10-16 00:00:00",,24216,,,,,,,,
"2016-10-17 00:00:00",,20902,,,,,,,,
"2016-10-18 00:00:00",,20222,,,,,,,,
"2016-10-19 00:00:00",,19646,,,,,,,,
"2016-10-20 00:00:00",,19557,,,,,,,,
"2016-10-21 00:00:00",,21118,,,,,,,,
"2016-10-22 00:00:00",,22951,,,,,,,,
"2016-10-23 00:00:00",,23435,,,,,,,,
"2016-10-24 00:00:00",,19689,,,,,,,,
"2016-10-25 00:00:00",,20034,,,,,,,,
"2016-10-26 00:00:00",,20620,,,,,,,,
"2016-10-27 00:00:00",,19101,,,,,,,,
"2016-10-28 00:00:00",,22948,,,,,,,,
"2016-10-29 00:00:00",,25748,,,,,,,,
"2016-10-30 00:00:00",,28348,,,,,,,,
"2016-10-31 00:00:00",,23333,,,,,,,,
"2016-11-01 00:00:00",,24844,,,,,,,,
"2016-11-02 00:00:00",,25507,,,,,,,,
"2016-11-03 00:00:00",,23822,,,,,,,,
"2016-11-04 00:00:00",,23686,,,,,,,,
"2016-11-05 00:00:00",,26392,,,,,,,,
"2016-11-06 00:00:00",,27455,,,,,,,,
"2016-11-07 00:00:00",,21774,,,,,,,,
"2016-11-08 00:00:00",,22851,,,,,,,,
"2016-11-09 00:00:00",,21153,,,,,,,,
"2016-11-10 00:00:00",,20848,,,,,,,,
"2016-11-11 00:00:00",,23199,,,,,,,,
"2016-11-12 00:00:00",,25604,,,,,,,,
"2016-11-13 00:00:00",,27140,,,,,,,,
"2016-11-14 00:00:00",,23108,,,,,,,,
"2016-11-15 00:00:00",,22417,,,,,,,,
"2016-11-16 00:00:00",,20602,,,,,,,,
"2016-11-17 00:00:00",,20457,,,,,,,,
"2016-11-18 00:00:00",,21003,,,,,,,,
"2016-11-19 00:00:00",,23809,,,,,,,,
"2016-11-20 00:00:00",,25391,,,,,,,,
"2016-11-21 00:00:00",,21429,,,,,,,,
"2016-11-22 00:00:00",,21335,,,,,,,,
"2016-11-23 00:00:00",,22451,,,,,,,,
"2016-11-24 00:00:00",,21491,,,,,,,,
"2016-11-25 00:00:00",,23313,,,,,,,,
"2016-11-26 00:00:00",,24548,,,,,,,,
"2016-11-27 00:00:00",,25973,,,,,,,,
"2016-11-28 00:00:00",,21634,,,,,,,,
"2016-11-29 00:00:00",,21463,,,,,,,,
"2016-11-30 00:00:00",,21114,,,,,,,,
"2016-12-01 00:00:00",,20724,,,,,,,,
"2016-12-02 00:00:00",,22457,,,,,,,,
"2016-12-03 00:00:00",,24666,,,,,,,,
"2016-12-04 00:00:00",,27444,,,,,,,,
"2016-12-05 00:00:00",,21932,,,,,,,,
"2016-12-06 00:00:00",,26162,,,,,,,,
"2016-12-07 00:00:00",,24157,,,,,,,,
"2016-12-08 00:00:00",,25399,,,,,,,,
"2016-12-09 00:00:00",,29465,,,,,,,,
"2016-12-10 00:00:00",,35171,,,,,,,,
"2016-12-11 00:00:00",,37153,,,,,,,,
"2016-12-12 00:00:00",,32448,,,,,,,,
"2016-12-13 00:00:00",,32994,,,,,,,,
"2016-12-14 00:00:00",,32998,,,,,,,,
"2016-12-15 00:00:00",,30285,,,,,,,,
"2016-12-16 00:00:00",,30750,,,,,,,,
"2016-12-17 00:00:00",,32816,,,,,,,,
"2016-12-18 00:00:00",,34209,,,,,,,,
"2016-12-19 00:00:00",,30890,,,,,,,,
"2016-12-20 00:00:00",,31052,,,,,,,,
"2016-12-21 00:00:00",,30797,,,,,,,,
"2016-12-22 00:00:00",,31105,,,,,,,,
"2016-12-23 00:00:00",,32659,,,,,,,,
"2016-12-24 00:00:00",,30768,,,,,,,,
"2016-12-25 00:00:00",,31171,,,,,,,,
"2016-12-26 00:00:00",,37024,,,,,,,,
"2016-12-27 00:00:00",,36001,,,,,,,,
"2016-12-28 00:00:00",,36246,,,,,,,,
"2016-12-29 00:00:00",,37997,,,,,,,,
"2016-12-30 00:00:00",,40867,,,,,,,,
"2016-12-31 00:00:00",,39250,,,,,,,,
"2017-01-01 00:00:00",1,42846,,,,,,,,
"2017-01-02 00:00:00",,42843,,,,,,,,
"2017-01-03 00:00:00",,41142,,,,,,,,
"2017-01-04 00:00:00",,38192,,,,,,,,
"2017-01-05 00:00:00",,38684,,,,,,,,
"2017-01-06 00:00:00",,35810,,,,,,,,
"2017-01-07 00:00:00",,43490,,,,,,,,
"2017-01-08 00:00:00",,42217,,,,,,,,
"2017-01-09 00:00:00",,36799,,,,,,,,
"2017-01-10 00:00:00",,35221,,,,,,,,
"2017-01-11 00:00:00",,34914,,,,,,,,
"2017-01-12 00:00:00",,34149,,,,,,,,
